"domain_term","protected_token","raw_occurrences","stemmed_form","potential_distortion","interpretation_note"
"street view imagery","street_view_imagery",84,"street view imageri","Yes","Term may be shortened by stemming; interpretation should use original topic labels and representative documents."
"street-view imagery","street_view_imagery",3,"street view imageri","Yes","Term may be shortened by stemming; interpretation should use original topic labels and representative documents."
"urban form","urban_form",143,"urban form","No","Term appears stable under basic stemming."
"built form","built_form",5,"built form","No","Term appears stable under basic stemming."
"green view index","green_view_index",33,"green view index","No","Term appears stable under basic stemming."
"sky view factor","sky_view_factor",23,"sky view factor","No","Term appears stable under basic stemming."
"point cloud","point_cloud",95,"point cloud","No","Term appears stable under basic stemming."
"point-cloud","point_cloud",1,"point cloud","No","Term appears stable under basic stemming."
"urban morphology","urban_morphology",40,"urban morpholog","Yes","Term may be shortened by stemming; interpretation should use original topic labels and representative documents."
"urban fabric","urban_fabric",26,"urban fabric","No","Term appears stable under basic stemming."
"built environment","built_environment",230,"built environ","Yes","Term may be shortened by stemming; interpretation should use original topic labels and representative documents."
"public realm","public_realm",4,"public realm","No","Term appears stable under basic stemming."
"land use","land_use",26,"land use","No","Term appears stable under basic stemming."
"land-use","land_use",40,"land use","No","Term appears stable under basic stemming."
"skyline","skyline",1,"skylin","Yes","Term may be shortened by stemming; interpretation should use original topic labels and representative documents."
"roofscape","roofscape",1,"roofscap","Yes","Term may be shortened by stemming; interpretation should use original topic labels and representative documents."
"streetscape","streetscape",197,"streetscap","Yes","Term may be shortened by stemming; interpretation should use original topic labels and representative documents."
"townscape","townscape",4,"townscap","Yes","Term may be shortened by stemming; interpretation should use original topic labels and representative documents."
"vegetation","vegetation",364,"veget","Yes","Term may be shortened by stemming; interpretation should use original topic labels and representative documents."
"walkability","walkability",161,"walkabl","Yes","Term may be shortened by stemming; interpretation should use original topic labels and representative documents."
"connectivity","connectivity",118,"connect","Yes","Term may be shortened by stemming; interpretation should use original topic labels and representative documents."
"spatial configuration","spatial_configuration",21,"spatial configur","Yes","Term may be shortened by stemming; interpretation should use original topic labels and representative documents."
